Filename_MOD11A1_LST_Day, filename_MOD11A1_LST_Night,No_GoodQuality, No_Total, GoodQ_Rate
MOD11A1_2013185.LST_Day_1km.tif, MOD11A1_2013185.QC_Day.tif, 185977, 396600, 0.468928
MOD11A1_2013185.LST_Night_1km.tif, MOD11A1_2013185.QC_Night.tif, 345361, 396600, 0.870804
MOD11A1_2013186.LST_Day_1km.tif, MOD11A1_2013186.QC_Day.tif, 307848, 396600, 0.776218
MOD11A1_2013186.LST_Night_1km.tif, MOD11A1_2013186.QC_Night.tif, 353715, 396600, 0.891868
MOD11A1_2013187.LST_Day_1km.tif, MOD11A1_2013187.QC_Day.tif, 344481, 396600, 0.868585
MOD11A1_2013187.LST_Night_1km.tif, MOD11A1_2013187.QC_Night.tif, 152701, 396600, 0.385025
MOD11A1_2013188.LST_Day_1km.tif, MOD11A1_2013188.QC_Day.tif, 168509, 396600, 0.424884
MOD11A1_2013188.LST_Night_1km.tif, MOD11A1_2013188.QC_Night.tif, 99833, 396600, 0.251722
MOD11A1_2013189.LST_Day_1km.tif, MOD11A1_2013189.QC_Day.tif, 41516, 396600, 0.104680
MOD11A1_2013189.LST_Night_1km.tif, MOD11A1_2013189.QC_Night.tif, 188524, 396600, 0.475350
MOD11A1_2013190.LST_Day_1km.tif, MOD11A1_2013190.QC_Day.tif, 3990, 396600, 0.010061
MOD11A1_2013190.LST_Night_1km.tif, MOD11A1_2013190.QC_Night.tif, 139025, 396600, 0.350542
MOD11A1_2013191.LST_Day_1km.tif, MOD11A1_2013191.QC_Day.tif, 204639, 396600, 0.515983
MOD11A1_2013191.LST_Night_1km.tif, MOD11A1_2013191.QC_Night.tif, 172506, 396600, 0.434962
MOD11A1_2013192.LST_Day_1km.tif, MOD11A1_2013192.QC_Day.tif, 271451, 396600, 0.684445
MOD11A1_2013192.LST_Night_1km.tif, MOD11A1_2013192.QC_Night.tif, 130410, 396600, 0.328820
MOD11A1_2013193.LST_Day_1km.tif, MOD11A1_2013193.QC_Day.tif, 77271, 396600, 0.194834
MOD11A1_2013193.LST_Night_1km.tif, MOD11A1_2013193.QC_Night.tif, 149629, 396600, 0.377279
MOD11A1_2013194.LST_Day_1km.tif, MOD11A1_2013194.QC_Day.tif, 90049, 396600, 0.227052
MOD11A1_2013194.LST_Night_1km.tif, MOD11A1_2013194.QC_Night.tif, 60455, 396600, 0.152433
MOD11A1_2013195.LST_Day_1km.tif, MOD11A1_2013195.QC_Day.tif, 127222, 396600, 0.320782
MOD11A1_2013195.LST_Night_1km.tif, MOD11A1_2013195.QC_Night.tif, 347321, 396600, 0.875746
MOD11A1_2013196.LST_Day_1km.tif, MOD11A1_2013196.QC_Day.tif, 383335, 396600, 0.966553
MOD11A1_2013196.LST_Night_1km.tif, MOD11A1_2013196.QC_Night.tif, 316256, 396600, 0.797418
MOD11A1_2013197.LST_Day_1km.tif, MOD11A1_2013197.QC_Day.tif, 264623, 396600, 0.667229
MOD11A1_2013197.LST_Night_1km.tif, MOD11A1_2013197.QC_Night.tif, 58863, 396600, 0.148419
MOD11A1_2013198.LST_Day_1km.tif, MOD11A1_2013198.QC_Day.tif, 182112, 396600, 0.459183
MOD11A1_2013198.LST_Night_1km.tif, MOD11A1_2013198.QC_Night.tif, 207835, 396600, 0.524042
MOD11A1_2013199.LST_Day_1km.tif, MOD11A1_2013199.QC_Day.tif, 378307, 396600, 0.953875
MOD11A1_2013199.LST_Night_1km.tif, MOD11A1_2013199.QC_Night.tif, 0, 396600, 0.000000
MOD11A1_2013200.LST_Day_1km.tif, MOD11A1_2013200.QC_Day.tif, 376442, 396600, 0.949173
MOD11A1_2013200.LST_Night_1km.tif, MOD11A1_2013200.QC_Night.tif, 349152, 396600, 0.880363
MOD11A1_2013201.LST_Day_1km.tif, MOD11A1_2013201.QC_Day.tif, 368135, 396600, 0.928227
MOD11A1_2013201.LST_Night_1km.tif, MOD11A1_2013201.QC_Night.tif, 199568, 396600, 0.503197
MOD11A1_2013202.LST_Day_1km.tif, MOD11A1_2013202.QC_Day.tif, 351533, 396600, 0.886367
MOD11A1_2013202.LST_Night_1km.tif, MOD11A1_2013202.QC_Night.tif, 393731, 396600, 0.992766
MOD11A1_2013203.LST_Day_1km.tif, MOD11A1_2013203.QC_Day.tif, 388871, 396600, 0.980512
MOD11A1_2013203.LST_Night_1km.tif, MOD11A1_2013203.QC_Night.tif, 359790, 396600, 0.907186
MOD11A1_2013204.LST_Day_1km.tif, MOD11A1_2013204.QC_Day.tif, 94928, 396600, 0.239355
MOD11A1_2013204.LST_Night_1km.tif, MOD11A1_2013204.QC_Night.tif, 3785, 396600, 0.009544
MOD11A1_2013205.LST_Day_1km.tif, MOD11A1_2013205.QC_Day.tif, 12715, 396600, 0.032060
MOD11A1_2013205.LST_Night_1km.tif, MOD11A1_2013205.QC_Night.tif, 82466, 396600, 0.207932
MOD11A1_2013206.LST_Day_1km.tif, MOD11A1_2013206.QC_Day.tif, 10895, 396600, 0.027471
MOD11A1_2013206.LST_Night_1km.tif, MOD11A1_2013206.QC_Night.tif, 21921, 396600, 0.055272
MOD11A1_2013207.LST_Day_1km.tif, MOD11A1_2013207.QC_Day.tif, 13057, 396600, 0.032922
MOD11A1_2013207.LST_Night_1km.tif, MOD11A1_2013207.QC_Night.tif, 165951, 396600, 0.418434
MOD11A1_2013208.LST_Day_1km.tif, MOD11A1_2013208.QC_Day.tif, 332743, 396600, 0.838989
MOD11A1_2013208.LST_Night_1km.tif, MOD11A1_2013208.QC_Night.tif, 135792, 396600, 0.342390
MOD11A1_2013209.LST_Day_1km.tif, MOD11A1_2013209.QC_Day.tif, 324831, 396600, 0.819039
MOD11A1_2013209.LST_Night_1km.tif, MOD11A1_2013209.QC_Night.tif, 269441, 396600, 0.679377
MOD11A1_2013210.LST_Day_1km.tif, MOD11A1_2013210.QC_Day.tif, 276947, 396600, 0.698303
MOD11A1_2013210.LST_Night_1km.tif, MOD11A1_2013210.QC_Night.tif, 211371, 396600, 0.532958
MOD11A1_2013211.LST_Day_1km.tif, MOD11A1_2013211.QC_Day.tif, 201676, 396600, 0.508512
MOD11A1_2013211.LST_Night_1km.tif, MOD11A1_2013211.QC_Night.tif, 312287, 396600, 0.787410
MOD11A1_2013212.LST_Day_1km.tif, MOD11A1_2013212.QC_Day.tif, 351922, 396600, 0.887347
MOD11A1_2013212.LST_Night_1km.tif, MOD11A1_2013212.QC_Night.tif, 367473, 396600, 0.926558
MOD11A1_2013213.LST_Day_1km.tif, MOD11A1_2013213.QC_Day.tif, 310521, 396600, 0.782958
MOD11A1_2013213.LST_Night_1km.tif, MOD11A1_2013213.QC_Night.tif, 350989, 396600, 0.884995
MOD11A1_2013214.LST_Day_1km.tif, MOD11A1_2013214.QC_Day.tif, 392774, 396600, 0.990353
MOD11A1_2013214.LST_Night_1km.tif, MOD11A1_2013214.QC_Night.tif, 395633, 396600, 0.997562
MOD11A1_2013215.LST_Day_1km.tif, MOD11A1_2013215.QC_Day.tif, 383711, 396600, 0.967501
MOD11A1_2013215.LST_Night_1km.tif, MOD11A1_2013215.QC_Night.tif, 275904, 396600, 0.695673
MOD11A1_2013216.LST_Day_1km.tif, MOD11A1_2013216.QC_Day.tif, 360649, 396600, 0.909352
MOD11A1_2013216.LST_Night_1km.tif, MOD11A1_2013216.QC_Night.tif, 246769, 396600, 0.622211
MOD11A1_2013217.LST_Day_1km.tif, MOD11A1_2013217.QC_Day.tif, 228209, 396600, 0.575414
MOD11A1_2013217.LST_Night_1km.tif, MOD11A1_2013217.QC_Night.tif, 189326, 396600, 0.477373
MOD11A1_2013218.LST_Day_1km.tif, MOD11A1_2013218.QC_Day.tif, 121328, 396600, 0.305920
MOD11A1_2013218.LST_Night_1km.tif, MOD11A1_2013218.QC_Night.tif, 292805, 396600, 0.738288
MOD11A1_2013219.LST_Day_1km.tif, MOD11A1_2013219.QC_Day.tif, 218747, 396600, 0.551556
MOD11A1_2013219.LST_Night_1km.tif, MOD11A1_2013219.QC_Night.tif, 373665, 396600, 0.942171
MOD11A1_2013220.LST_Day_1km.tif, MOD11A1_2013220.QC_Day.tif, 390934, 396600, 0.985714
MOD11A1_2013220.LST_Night_1km.tif, MOD11A1_2013220.QC_Night.tif, 357297, 396600, 0.900900
MOD11A1_2013221.LST_Day_1km.tif, MOD11A1_2013221.QC_Day.tif, 260006, 396600, 0.655587
MOD11A1_2013221.LST_Night_1km.tif, MOD11A1_2013221.QC_Night.tif, 82982, 396600, 0.209233
MOD11A1_2013222.LST_Day_1km.tif, MOD11A1_2013222.QC_Day.tif, 108445, 396600, 0.273437
MOD11A1_2013222.LST_Night_1km.tif, MOD11A1_2013222.QC_Night.tif, 379229, 396600, 0.956200
MOD11A1_2013223.LST_Day_1km.tif, MOD11A1_2013223.QC_Day.tif, 392393, 396600, 0.989392
MOD11A1_2013223.LST_Night_1km.tif, MOD11A1_2013223.QC_Night.tif, 385161, 396600, 0.971157
MOD11A1_2013224.LST_Day_1km.tif, MOD11A1_2013224.QC_Day.tif, 234611, 396600, 0.591556
MOD11A1_2013224.LST_Night_1km.tif, MOD11A1_2013224.QC_Night.tif, 316451, 396600, 0.797910
MOD11A1_2013225.LST_Day_1km.tif, MOD11A1_2013225.QC_Day.tif, 330912, 396600, 0.834372
MOD11A1_2013225.LST_Night_1km.tif, MOD11A1_2013225.QC_Night.tif, 302582, 396600, 0.762940
MOD11A1_2013226.LST_Day_1km.tif, MOD11A1_2013226.QC_Day.tif, 105418, 396600, 0.265804
MOD11A1_2013226.LST_Night_1km.tif, MOD11A1_2013226.QC_Night.tif, 94726, 396600, 0.238845
MOD11A1_2013227.LST_Day_1km.tif, MOD11A1_2013227.QC_Day.tif, 64886, 396600, 0.163606
MOD11A1_2013227.LST_Night_1km.tif, MOD11A1_2013227.QC_Night.tif, 128976, 396600, 0.325204
MOD11A1_2013228.LST_Day_1km.tif, MOD11A1_2013228.QC_Day.tif, 43519, 396600, 0.109730
MOD11A1_2013228.LST_Night_1km.tif, MOD11A1_2013228.QC_Night.tif, 99217, 396600, 0.250169
MOD11A1_2013229.LST_Day_1km.tif, MOD11A1_2013229.QC_Day.tif, 118055, 396600, 0.297668
MOD11A1_2013229.LST_Night_1km.tif, MOD11A1_2013229.QC_Night.tif, 197887, 396600, 0.498959
MOD11A1_2013230.LST_Day_1km.tif, MOD11A1_2013230.QC_Day.tif, 130923, 396600, 0.330113
MOD11A1_2013230.LST_Night_1km.tif, MOD11A1_2013230.QC_Night.tif, 10397, 396600, 0.026215
MOD11A1_2013231.LST_Day_1km.tif, MOD11A1_2013231.QC_Day.tif, 96981, 396600, 0.244531
MOD11A1_2013231.LST_Night_1km.tif, MOD11A1_2013231.QC_Night.tif, 208256, 396600, 0.525103
MOD11A1_2013232.LST_Day_1km.tif, MOD11A1_2013232.QC_Day.tif, 286021, 396600, 0.721183
MOD11A1_2013232.LST_Night_1km.tif, MOD11A1_2013232.QC_Night.tif, 300013, 396600, 0.756462
MOD11A1_2013233.LST_Day_1km.tif, MOD11A1_2013233.QC_Day.tif, 261471, 396600, 0.659281
MOD11A1_2013233.LST_Night_1km.tif, MOD11A1_2013233.QC_Night.tif, 67756, 396600, 0.170842
MOD11A1_2013234.LST_Day_1km.tif, MOD11A1_2013234.QC_Day.tif, 142014, 396600, 0.358079
MOD11A1_2013234.LST_Night_1km.tif, MOD11A1_2013234.QC_Night.tif, 161063, 396600, 0.406109
MOD11A1_2013235.LST_Day_1km.tif, MOD11A1_2013235.QC_Day.tif, 142464, 396600, 0.359213
MOD11A1_2013235.LST_Night_1km.tif, MOD11A1_2013235.QC_Night.tif, 340679, 396600, 0.858999
MOD11A1_2013236.LST_Day_1km.tif, MOD11A1_2013236.QC_Day.tif, 319637, 396600, 0.805943
MOD11A1_2013236.LST_Night_1km.tif, MOD11A1_2013236.QC_Night.tif, 378293, 396600, 0.953840
